@ NAME             %06s "NONLIN"
@ TYPE             %06s "NONLIN"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.03.06 Darwin 64"
@ DATE             %08s "03/09/19"
@ TIME             %08s "16.32.42"
* NAME               NICKNAME           BASEVARIABLE                    VALUE      ORDER    ORDER_X   ORDER_PX    ORDER_Y   ORDER_PY   ORDER_PT    ORDER_T 
$ %s                 %s                 %s                                %le         %d         %d         %d         %d         %d         %d         %d 
 "GNFS_3_1_0_0_0_0"  "F_310000_IM"       "GEN_FUN_SIN"           -0.03725921599          4          3          1          0          0          0          0
 "GNFC_3_1_0_0_0_0"  "F_310000_RE"       "GEN_FUN_COS"          -0.005644646731          4          3          1          0          0          0          0
 "GNFA_1_3_0_0_0_0"  "F_130000"          "GEN_FUN_AMP"            0.03768436298          4          1          3          0          0          0          0
 "GNFS_1_3_0_0_0_0"  "F_130000_IM"       "GEN_FUN_SIN"            0.03725921599          4          1          3          0          0          0          0
 "GNFC_1_3_0_0_0_0"  "F_130000_RE"       "GEN_FUN_COS"          -0.005644646731          4          1          3          0          0          0          0
 "GNFA_0_4_0_0_0_0"  "F_040000"          "GEN_FUN_AMP"            0.04770816895          4          0          4          0          0          0          0
 "GNFS_0_4_0_0_0_0"  "F_040000_IM"       "GEN_FUN_SIN"           -0.04564341186          4          0          4          0          0          0          0
 "GNFC_0_4_0_0_0_0"  "F_040000_RE"       "GEN_FUN_COS"            0.01388338353          4          0          4          0          0          0          0
 "GNFA_2_0_2_0_0_0"  "F_202000"          "GEN_FUN_AMP"             0.4214528428          4          2          0          2          0          0          0
 "GNFS_2_0_2_0_0_0"  "F_202000_IM"       "GEN_FUN_SIN"            -0.3886946939          4          2          0          2          0          0          0
 "GNFC_2_0_2_0_0_0"  "F_202000_RE"       "GEN_FUN_COS"            -0.1629077456          4          2          0          2          0          0          0
 "GNFA_1_1_2_0_0_0"  "F_112000"          "GEN_FUN_AMP"              1.146370584          4          1          1          2          0          0          0
 "GNFS_1_1_2_0_0_0"  "F_112000_IM"       "GEN_FUN_SIN"             -1.110752327          4          1          1          2          0          0          0
 "GNFC_1_1_2_0_0_0"  "F_112000_RE"       "GEN_FUN_COS"            -0.2835397412          4          1          1          2          0          0          0
 "GNFA_0_2_2_0_0_0"  "F_022000"          "GEN_FUN_AMP"              64.60378601          4          0          2          2          0          0          0
 "GNFS_0_2_2_0_0_0"  "F_022000_IM"       "GEN_FUN_SIN"              -64.2652469          4          0          2          2          0          0          0
 "GNFC_0_2_2_0_0_0"  "F_022000_RE"       "GEN_FUN_COS"             -6.605089531          4          0          2          2          0          0          0
 "GNFA_0_0_4_0_0_0"  "F_004000"          "GEN_FUN_AMP"             0.1413560784          4          0          0          4          0          0          0
 "GNFS_0_0_4_0_0_0"  "F_004000_IM"       "GEN_FUN_SIN"             0.1240444816          4          0          0          4          0          0          0
 "GNFC_0_0_4_0_0_0"  "F_004000_RE"       "GEN_FUN_COS"            0.06778279646          4          0          0          4          0          0          0
 "GNFA_2_0_1_1_0_0"  "F_201100"          "GEN_FUN_AMP"              1.105634713          4          2          0          1          1          0          0
 "GNFS_2_0_1_1_0_0"  "F_201100_IM"       "GEN_FUN_SIN"              -1.09362658          4          2          0          1          1          0          0
 "GNFC_2_0_1_1_0_0"  "F_201100_RE"       "GEN_FUN_COS"            -0.1625085305          4          2          0          1          1          0          0
 "GNFA_0_2_1_1_0_0"  "F_021100"          "GEN_FUN_AMP"              1.105634713          4          0          2          1          1          0          0
 "GNFS_0_2_1_1_0_0"  "F_021100_IM"       "GEN_FUN_SIN"               1.09362658          4          0          2          1          1          0          0
 "GNFC_0_2_1_1_0_0"  "F_021100_RE"       "GEN_FUN_COS"            -0.1625085305          4          0          2          1          1          0          0
 "GNFA_0_0_3_1_0_0"  "F_003100"          "GEN_FUN_AMP"              1.051294566          4          0          0          3          1          0          0
 "GNFS_0_0_3_1_0_0"  "F_003100_IM"       "GEN_FUN_SIN"              1.018755231          4          0          0          3          1          0          0
 "GNFC_0_0_3_1_0_0"  "F_003100_RE"       "GEN_FUN_COS"             0.2595342814          4          0          0          3          1          0          0
 "GNFA_3_0_0_0_1_0"  "F_300010"          "GEN_FUN_AMP"           0.008536943335          4          3          0          0          0          1          0
 "GNFS_3_0_0_0_1_0"  "F_300010_IM"       "GEN_FUN_SIN"           0.008239492175          4          3          0          0          0          1          0
 "GNFC_3_0_0_0_1_0"  "F_300010_RE"       "GEN_FUN_COS"           0.002233868886          4          3          0          0          0          1          0
 "GNFA_2_1_0_0_1_0"  "F_210010"          "GEN_FUN_AMP"             0.7944936122          4          2          1          0          0          1          0
 "GNFS_2_1_0_0_1_0"  "F_210010_IM"       "GEN_FUN_SIN"            -0.7912319885          4          2          1          0          0          1          0
 "GNFC_2_1_0_0_1_0"  "F_210010_RE"       "GEN_FUN_COS"            0.07191689762          4          2          1          0          0          1          0
 "GNFA_1_2_0_0_1_0"  "F_120010"          "GEN_FUN_AMP"             0.7944936122          4          1          2          0          0          1          0
 "GNFS_1_2_0_0_1_0"  "F_120010_IM"       "GEN_FUN_SIN"             0.7717870911          4          1          2          0          0          1          0
 "GNFC_1_2_0_0_1_0"  "F_120010_RE"       "GEN_FUN_COS"            -0.1885862823          4          1          2          0          0          1          0
 "GNFA_0_3_0_0_1_0"  "F_030010"          "GEN_FUN_AMP"           0.008536943335          4          0          3          0          0          1          0
 "GNFS_0_3_0_0_1_0"  "F_030010_IM"       "GEN_FUN_SIN"          -0.007069616202          4          0          3          0          0          1          0
 "GNFC_0_3_0_0_1_0"  "F_030010_RE"       "GEN_FUN_COS"           0.004785386949          4          0          3          0          0          1          0
 "GNFA_1_0_2_0_1_0"  "F_102010"          "GEN_FUN_AMP"              2.020110648          4          1          0          2          0          1          0
 "GNFS_1_0_2_0_1_0"  "F_102010_IM"       "GEN_FUN_SIN"             -1.993364062          4          1          0          2          0          1          0
 "GNFC_1_0_2_0_1_0"  "F_102010_RE"       "GEN_FUN_COS"            -0.3276381353          4          1          0          2          0          1          0
 "GNFA_0_1_2_0_1_0"  "F_012010"          "GEN_FUN_AMP"              1.803153854          4          0          1          2          0          1          0
 "GNFS_0_1_2_0_1_0"  "F_012010_IM"       "GEN_FUN_SIN"             -1.802975026          4          0          1          2          0          1          0
 "GNFC_0_1_2_0_1_0"  "F_012010_RE"       "GEN_FUN_COS"           -0.02539444329          4          0          1          2          0          1          0
 "GNFA_2_0_0_2_0_0"  "F_200200"          "GEN_FUN_AMP"              64.60378601          4          2          0          0          2          0          0
 "GNFS_2_0_0_2_0_0"  "F_200200_IM"       "GEN_FUN_SIN"               64.2652469          4          2          0          0          2          0          0
 "GNFC_2_0_0_2_0_0"  "F_200200_RE"       "GEN_FUN_COS"             -6.605089531          4          2          0          0          2          0          0
 "GNFA_1_1_0_2_0_0"  "F_110200"          "GEN_FUN_AMP"              1.146370584          4          1          1          0          2          0          0
 "GNFS_1_1_0_2_0_0"  "F_110200_IM"       "GEN_FUN_SIN"              1.110752327          4          1          1          0          2          0          0
 "GNFC_1_1_0_2_0_0"  "F_110200_RE"       "GEN_FUN_COS"            -0.2835397412          4          1          1          0          2          0          0
 "GNFA_0_2_0_2_0_0"  "F_020200"          "GEN_FUN_AMP"             0.4214528428          4          0          2          0          2          0          0
 "GNFS_0_2_0_2_0_0"  "F_020200_IM"       "GEN_FUN_SIN"             0.3886946939          4          0          2          0          2          0          0
 "GNFC_0_2_0_2_0_0"  "F_020200_RE"       "GEN_FUN_COS"            -0.1629077456          4          0          2          0          2          0          0
 "GNFA_1_0_1_1_1_0"  "F_101110"          "GEN_FUN_AMP"              3.816492233          4          1          0          1          1          1          0
 "GNFS_1_0_1_1_1_0"  "F_101110_IM"       "GEN_FUN_SIN"             -3.800280013          4          1          0          1          1          1          0
 "GNFC_1_0_1_1_1_0"  "F_101110_RE"       "GEN_FUN_COS"             0.3514040193          4          1          0          1          1          1          0
 "GNFA_0_1_1_1_1_0"  "F_011110"          "GEN_FUN_AMP"              3.816492233          4          0          1          1          1          1          0
 "GNFS_0_1_1_1_1_0"  "F_011110_IM"       "GEN_FUN_SIN"              3.708828343          4          0          1          1          1          1          0
 "GNFC_0_1_1_1_1_0"  "F_011110_RE"       "GEN_FUN_COS"              -0.90011404          4          0          1          1          1          1          0
 "GNFA_2_0_0_0_2_0"  "F_200020"          "GEN_FUN_AMP"            0.09591596851          4          2          0          0          0          2          0
 "GNFS_2_0_0_0_2_0"  "F_200020_IM"       "GEN_FUN_SIN"           -0.09216654658          4          2          0          0          0          2          0
 "GNFC_2_0_0_0_2_0"  "F_200020_RE"       "GEN_FUN_COS"            0.02655561532          4          2          0          0          0          2          0
 "GNFA_1_1_0_0_2_0"  "F_110020"          "GEN_FUN_AMP"            0.03817052941          4          1          1          0          0          2          0
 "GNFS_1_1_0_0_2_0"  "F_110020_IM"       "GEN_FUN_SIN"            -0.0170703797          4          1          1          0          0          2          0
 "GNFC_1_1_0_0_2_0"  "F_110020_RE"       "GEN_FUN_COS"            -0.0341407594          4          1          1          0          0          2          0
 "GNFA_0_2_0_0_2_0"  "F_020020"          "GEN_FUN_AMP"            0.09591596851          4          0          2          0          0          2          0
 "GNFS_0_2_0_0_2_0"  "F_020020_IM"       "GEN_FUN_SIN"            0.07654442021          4          0          2          0          0          2          0
 "GNFC_0_2_0_0_2_0"  "F_020020_RE"       "GEN_FUN_COS"           -0.05779986807          4          0          2          0          0          2          0
 "GNFA_0_0_2_0_2_0"  "F_002020"          "GEN_FUN_AMP"             0.7262700478          4          0          0          2          0          2          0
 "GNFS_0_0_2_0_2_0"  "F_002020_IM"       "GEN_FUN_SIN"            -0.7155225744          4          0          0          2          0          2          0
 "GNFC_0_0_2_0_2_0"  "F_002020_RE"       "GEN_FUN_COS"             0.1244814354          4          0          0          2          0          2          0
 "GNFA_0_0_1_3_0_0"  "F_001300"          "GEN_FUN_AMP"              1.051294566          4          0          0          1          3          0          0
 "GNFS_0_0_1_3_0_0"  "F_001300_IM"       "GEN_FUN_SIN"             -1.018755231          4          0          0          1          3          0          0
 "GNFC_0_0_1_3_0_0"  "F_001300_RE"       "GEN_FUN_COS"             0.2595342814          4          0          0          1          3          0          0
 "GNFA_1_0_0_2_1_0"  "F_100210"          "GEN_FUN_AMP"              1.803153854          4          1          0          0          2          1          0
 "GNFS_1_0_0_2_1_0"  "F_100210_IM"       "GEN_FUN_SIN"              1.697280881          4          1          0          0          2          1          0
 "GNFC_1_0_0_2_1_0"  "F_100210_RE"       "GEN_FUN_COS"            -0.6087704278          4          1          0          0          2          1          0
 "GNFA_0_1_0_2_1_0"  "F_010210"          "GEN_FUN_AMP"              2.020110648          4          0          1          0          2          1          0
 "GNFS_0_1_0_2_1_0"  "F_010210_IM"       "GEN_FUN_SIN"              1.779353636          4          0          1          0          2          1          0
 "GNFC_0_1_0_2_1_0"  "F_010210_RE"       "GEN_FUN_COS"            -0.9564244184          4          0          1          0          2          1          0
 "GNFA_0_0_1_1_2_0"  "F_001120"          "GEN_FUN_AMP"             0.4130369358          4          0          0          1          1          2          0
 "GNFS_0_0_1_1_2_0"  "F_001120_IM"       "GEN_FUN_SIN"            -0.1847157332          4          0          0          1          1          2          0
 "GNFC_0_0_1_1_2_0"  "F_001120_RE"       "GEN_FUN_COS"            -0.3694314663          4          0          0          1          1          2          0
 "GNFA_1_0_0_0_3_0"  "F_100030"          "GEN_FUN_AMP"             0.3573521111          4          1          0          0          0          3          0
 "GNFS_1_0_0_0_3_0"  "F_100030_IM"       "GEN_FUN_SIN"            -0.2211083846          4          1          0          0          0          3          0
 "GNFC_1_0_0_0_3_0"  "F_100030_RE"       "GEN_FUN_COS"              0.280734062          4          1          0          0          0          3          0
 "GNFA_0_1_0_0_3_0"  "F_010030"          "GEN_FUN_AMP"             0.3573521111          4          0          1          0          0          3          0
 "GNFS_0_1_0_0_3_0"  "F_010030_IM"       "GEN_FUN_SIN"             0.1740974478          4          0          1          0          0          3          0
 "GNFC_0_1_0_0_3_0"  "F_010030_RE"       "GEN_FUN_COS"            -0.3120746866          4          0          1          0          0          3          0
 "GNFA_0_0_0_4_0_0"  "F_000400"          "GEN_FUN_AMP"             0.1413560784          4          0          0          0          4          0          0
 "GNFS_0_0_0_4_0_0"  "F_000400_IM"       "GEN_FUN_SIN"            -0.1240444816          4          0          0          0          4          0          0
 "GNFC_0_0_0_4_0_0"  "F_000400_RE"       "GEN_FUN_COS"            0.06778279646          4          0          0          0          4          0          0
 "GNFA_0_0_0_2_2_0"  "F_000220"          "GEN_FUN_AMP"             0.7262700478          4          0          0          0          2          2          0
 "GNFS_0_0_0_2_2_0"  "F_000220_IM"       "GEN_FUN_SIN"              0.528898693          4          0          0          0          2          2          0
 "GNFC_0_0_0_2_2_0"  "F_000220_RE"       "GEN_FUN_COS"            -0.4977291983          4          0          0          0          2          2          0
 "HAMA_3_0_0_0_0_0"  "H_300000"          "HAMILT_AMP"             0.01888570472          3          3          0          0          0          0          0
 "HAMS_3_0_0_0_0_0"  "H_300000_IM"       "HAMILT_SIN"            -0.01637372649          3          3          0          0          0          0          0
 "HAMC_3_0_0_0_0_0"  "H_300000_RE"       "HAMILT_COS"            0.009411212642          3          3          0          0          0          0          0
 "HAMA_2_1_0_0_0_0"  "H_210000"          "HAMILT_AMP"             0.05990294098          3          2          1          0          0          0          0
 "HAMS_2_1_0_0_0_0"  "H_210000_IM"       "HAMILT_SIN"            -0.03847528642          3          2          1          0          0          0          0
 "HAMC_2_1_0_0_0_0"  "H_210000_RE"       "HAMILT_COS"            -0.04591312092          3          2          1          0          0          0          0
 "HAMA_1_2_0_0_0_0"  "H_120000"          "HAMILT_AMP"             0.05990294098          3          1          2          0          0          0          0
 "HAMS_1_2_0_0_0_0"  "H_120000_IM"       "HAMILT_SIN"             0.03847528642          3          1          2          0          0          0          0
 "HAMC_1_2_0_0_0_0"  "H_120000_RE"       "HAMILT_COS"            -0.04591312092          3          1          2          0          0          0          0
 "HAMA_0_3_0_0_0_0"  "H_030000"          "HAMILT_AMP"             0.01888570472          3          0          3          0          0          0          0
 "HAMS_0_3_0_0_0_0"  "H_030000_IM"       "HAMILT_SIN"             0.01637372649          3          0          3          0          0          0          0
